date,symbol,open,high,low,close,volume,values
2023-05-31,2330,560.00,562.00,551.00,558.00,90675529.00,50573324515.00
2023-06-01,2330,550.00,554.00,550.00,551.00,25257673.00,13920836412.00
2023-06-02,2330,559.00,564.00,557.00,562.00,34705102.00,19460144774.00
2023-06-05,2330,560.00,560.00,555.00,555.00,17483804.00,9730882750.00
2023-06-06,2330,554.00,562.00,553.00,560.00,21562088.00,12043550635.00
2023-06-07,2330,561.00,568.00,560.00,568.00,29091913.00,16449319451.00
2023-06-08,2330,562.00,568.00,555.00,559.00,25250687.00,14190442437.00
2023-06-09,2330,561.00,566.00,561.00,565.00,19776199.00,11160654540.00
2023-06-12,2330,574.00,574.00,571.00,574.00,28656646.00,16431644333.00
2023-06-13,2330,593.00,594.00,589.00,593.00,62671781.00,37077358748.00
2023-06-14,2330,590.00,591.00,587.00,590.00,25981992.00,15311616372.00
2023-06-15,2330,590.00,593.00,587.00,591.00,29868798.00,17618169127.00
2023-06-16,2330,590.00,590.00,584.00,589.00,41560389.00,24417862365.00
2023-06-19,2330,583.00,585.00,582.00,583.00,14883308.00,8682282040.00
2023-06-20,2330,579.00,585.00,579.00,583.00,17013418.00,9902274410.00
2023-06-21,2330,582.00,585.00,578.00,581.00,23718735.00,13782152333.00
2023-06-26,2330,576.00,578.00,574.00,574.00,29870090.00,17192208130.00
2023-06-27,2330,570.00,575.00,569.00,572.00,22447417.00,12847067878.00
2023-06-28,2330,579.00,579.00,571.00,574.00,18684508.00,10734873692.00
2023-06-29,2330,578.00,580.00,570.00,573.00,18046268.00,10372330946.00
2023-06-30,2330,570.00,576.00,568.00,576.00,33830922.00,19401712736.00
2023-07-03,2330,578.00,580.00,576.00,579.00,15118041.00,8743824984.00
2023-07-04,2330,585.00,585.00,580.00,585.00,17777363.00,10361905547.00
2023-07-05,2330,589.00,589.00,579.00,582.00,15553503.00,9060750346.00
2023-07-06,2330,573.00,574.00,565.00,565.00,32069711.00,18234491768.00
2023-07-07,2330,565.00,572.00,563.00,565.00,19858943.00,11244712238.00
2023-07-10,2330,567.00,573.00,565.00,565.00,18996089.00,10794393087.00
2023-07-11,2330,574.00,577.00,570.00,577.00,18566571.00,10665245909.00
2023-07-12,2330,574.00,578.00,572.00,578.00,16220006.00,9338600582.00
2023-07-13,2330,587.00,590.00,585.00,585.00,26878397.00,15790086719.00
2023-07-14,2330,589.00,591.00,587.00,591.00,24381177.00,14372679526.00
2023-07-17,2330,588.00,591.00,587.00,591.00,14311753.00,8428551949.00
2023-07-18,2330,587.00,588.00,580.00,581.00,22022410.00,12866196578.00
2023-07-19,2330,584.00,587.00,579.00,581.00,24909638.00,14517904258.00
2023-07-20,2330,580.00,584.00,578.00,579.00,15676734.00,9102325307.00
2023-07-21,2330,560.00,563.00,557.00,560.00,52275128.00,29291080481.00
2023-07-24,2330,557.00,563.00,557.00,558.00,27656825.00,15469188055.00
2023-07-25,2330,561.00,569.00,561.00,569.00,22767807.00,12899067927.00
2023-07-26,2330,569.00,571.00,563.00,566.00,15147698.00,8586520667.00
2023-07-27,2330,570.00,570.00,566.00,569.00,13004888.00,7396939592.00
2023-07-28,2330,569.00,573.00,565.00,567.00,19009675.00,10814265557.00
2023-07-31,2330,575.00,575.00,560.00,565.00,28409339.00,16044638425.00
2023-08-01,2330,565.00,568.00,564.00,567.00,18916866.00,10711815419.00
2023-08-02,2330,567.00,569.00,558.00,561.00,34495766.00,19394908189.00
2023-08-04,2330,556.00,560.00,552.00,554.00,29320685.00,16266624892.00
2023-08-07,2330,558.00,561.00,556.00,558.00,15607870.00,8719529904.00
2023-08-08,2330,558.00,558.00,551.00,552.00,21167596.00,11708530913.00
2023-08-09,2330,550.00,557.00,550.00,554.00,15088059.00,8355524852.00
2023-08-10,2330,552.00,554.00,550.00,551.00,18884431.00,10418779108.00
2023-08-11,2330,556.00,558.00,546.00,546.00,24816095.00,13663661565.00
2023-08-14,2330,540.00,543.00,537.00,541.00,24728477.00,13344853868.00
2023-08-15,2330,543.00,545.00,540.00,542.00,16341396.00,8859336259.00
2023-08-16,2330,541.00,543.00,536.00,542.00,29612963.00,15981443678.00
2023-08-17,2330,540.00,546.00,537.00,544.00,24070209.00,13048399357.00
2023-08-18,2330,540.00,544.00,539.00,539.00,19582982.00,10591633376.00
2023-08-21,2330,544.00,544.00,534.00,537.00,18313588.00,9840509268.00
2023-08-22,2330,544.00,544.00,538.00,541.00,14853796.00,8041168413.00
2023-08-23,2330,546.00,552.00,544.00,552.00,21701684.00,11920663477.00
2023-08-24,2330,563.00,564.00,558.00,564.00,24409517.00,13715472727.00
2023-08-25,2330,549.00,551.00,546.00,546.00,25782760.00,14141567044.00
2023-08-28,2330,547.00,553.00,547.00,549.00,9384631.00,5166103257.00
2023-08-29,2330,551.00,553.00,546.00,552.00,10969386.00,6035376093.00
2023-08-30,2330,558.00,560.00,554.00,555.00,18674649.00,10396527428.00
2023-08-31,2330,553.00,556.00,548.00,549.00,47265347.00,25978808976.00
2023-09-01,2330,543.00,553.00,543.00,548.00,15194921.00,8331995536.00
2023-09-04,2330,549.00,557.00,549.00,557.00,9772925.00,5412329762.00
2023-09-05,2330,553.00,555.00,550.00,552.00,14337041.00,7911531475.00
2023-09-06,2330,556.00,556.00,550.00,550.00,14442757.00,7972706415.00
2023-09-07,2330,546.00,548.00,542.00,542.00,22610385.00,12305542681.00
2023-09-08,2330,535.00,540.00,535.00,539.00,16702110.00,8980038278.00
2023-09-11,2330,539.00,540.00,536.00,536.00,15540773.00,8348107210.00
2023-09-12,2330,536.00,545.00,536.00,544.00,17135765.00,9268673682.00
2023-09-13,2330,545.00,548.00,541.00,541.00,16836487.00,9146776791.00
2023-09-14,2330,544.00,550.00,543.00,550.00,18377284.00,10058129685.00
2023-09-15,2330,549.00,558.00,547.00,558.00,44681949.00,24818735444.00
2023-09-18,2330,548.00,549.00,540.00,540.00,40148161.00,21843932948.00
2023-09-19,2330,539.00,543.00,538.00,538.00,21099739.00,11374956906.00
2023-09-20,2330,536.00,538.00,535.00,535.00,28098535.00,15065407249.00
2023-09-21,2330,530.00,531.00,526.00,527.00,35984810.00,19006048743.00
2023-09-22,2330,523.00,525.00,522.00,522.00,33499481.00,17519111007.00
2023-09-25,2330,522.00,529.00,522.00,525.00,20583374.00,10814706278.00
2023-09-26,2330,521.00,524.00,519.00,519.00,29064997.00,15130935931.00
2023-09-27,2330,517.00,523.00,516.00,522.00,18655088.00,9709749290.00
2023-09-28,2330,523.00,525.00,520.00,523.00,28350350.00,14826254349.00
2023-10-02,2330,530.00,534.00,528.00,533.00,26891996.00,14300676237.00
2023-10-03,2330,528.00,533.00,528.00,529.00,17601440.00,9335110434.00
2023-10-04,2330,521.00,523.00,519.00,520.00,29808729.00,15519741014.00
2023-10-05,2330,523.00,529.00,523.00,528.00,25749184.00,13563941939.00
2023-10-06,2330,530.00,533.00,529.00,532.00,16160314.00,8587684448.00
2023-10-11,2330,542.00,544.00,540.00,544.00,61670562.00,33477968593.00
2023-10-12,2330,545.00,550.00,544.00,550.00,36350241.00,19916786786.00
2023-10-13,2330,550.00,554.00,548.00,553.00,34704924.00,19128100250.00
2023-10-16,2330,546.00,547.00,542.00,545.00,21867048.00,11909042136.00
2023-10-17,2330,550.00,552.00,548.00,551.00,19462529.00,10712565922.00
2023-10-18,2330,549.00,549.00,540.00,540.00,28848123.00,15664232734.00
2023-10-19,2330,540.00,548.00,540.00,546.00,26999255.00,14717458172.00
2023-10-20,2330,549.00,556.00,546.00,556.00,49143932.00,27116129760.00
2023-10-23,2330,552.00,553.00,543.00,544.00,24172637.00,13193058890.00
2023-10-24,2330,543.00,546.00,540.00,544.00,15761516.00,8562488660.00
2023-10-25,2330,544.00,551.00,544.00,544.00,17137199.00,9371422161.00
2023-10-26,2330,530.00,535.00,530.00,531.00,31682955.00,16851704175.00
2023-10-27,2330,534.00,536.00,532.00,533.00,17050787.00,9094404470.00
2023-10-30,2330,531.00,534.00,528.00,532.00,23299422.00,12374705789.00
2023-10-31,2330,535.00,535.00,527.00,529.00,28073280.00,14873552534.00
2023-11-01,2330,533.00,533.00,527.00,528.00,14028881.00,7432561094.00
2023-11-02,2330,536.00,547.00,535.00,547.00,31075778.00,16846430251.00
2023-11-03,2330,547.00,549.00,545.00,549.00,16673456.00,9129495705.00
2023-11-06,2330,553.00,556.00,550.00,550.00,31297186.00,17321453879.00
2023-11-07,2330,552.00,555.00,550.00,555.00,16990175.00,9406486499.00
2023-11-08,2330,550.00,557.00,550.00,556.00,16780331.00,9308096586.00
2023-11-09,2330,551.00,557.00,551.00,557.00,13649525.00,7577883144.00
2023-11-10,2330,555.00,557.00,554.00,557.00,14105575.00,7841514218.00
2023-11-13,2330,579.00,580.00,571.00,571.00,46556047.00,26712320428.00
